Term,Definition,Example
Atom,Smallest unit of matter,Hydrogen atom
Molecule,Two or more atoms bonded together,Water H2O
Photosynthesis,Process plants use to make food,Leaves converting sunlight to glucose
Gravity,Force pulling objects together,Falling apple
Evaporation,Liquid turning into gas,Water drying from a puddle
Condensation,Gas turning into liquid,Dew forming on grass
Osmosis,Movement of water through a membrane,Water moving into plant roots
Cell,Basic unit of life,Red blood cell
DNA,Carrier of genetic information,Double helix structure
Energy,Ability to do work,Light bulb producing light
